filename,broken_front_headlight,broken_windshield,dent_door,dent_front_bumper,dent_rear_bumper,scratch_door,scratch_front_bumper,scratch_rear_bumper
1.jpg,0,0,0,0,1,0,0,0
10.jpg,0,0,1,0,0,0,0,0
14.jpg,0,0,0,1,0,0,0,0
15.jpg,0,0,0,0,1,0,0,0
16.jpg,0,0,1,0,0,1,0,0
17.jpg,0,0,1,0,0,0,0,0
18.jpg,0,0,1,0,0,0,0,0
19.jpg,0,0,0,0,0,0,0,1
2.jpg,0,0,0,0,1,0,0,1
20.jpg,0,0,0,1,0,0,1,0
21.jpg,0,0,0,0,1,0,0,0
22.jpg,0,0,0,1,1,0,0,0
23.jpg,1,0,0,1,0,0,0,0
24.jpg,0,0,0,0,1,0,0,0
25.jpg,0,0,0,1,0,0,0,0
26.jpg,0,0,0,1,0,0,0,0
27.jpg,0,0,0,1,0,0,0,0
29.jpg,0,0,0,1,0,0,0,0
3.jpg,0,0,0,0,0,0,0,1
30.jpg,0,0,1,0,1,0,0,0
31.jpg,0,0,0,1,0,0,0,0
32.jpg,0,0,0,0,1,0,0,1
33.jpg,1,0,0,1,0,0,0,0
34.jpg,0,0,0,1,0,0,0,0
36.jpg,0,0,0,0,1,0,0,0
37.jpg,0,0,0,0,1,0,0,0
38.jpg,0,0,0,0,1,0,0,0
39.jpg,0,0,1,0,0,0,0,0
4.jpg,0,0,0,1,0,0,1,0
40.jpg,0,0,0,0,0,1,0,1
41.jpg,1,0,0,1,0,0,1,0
42.jpg,0,0,0,1,0,1,0,0
43.jpg,1,0,0,1,0,0,0,0
44.jpg,0,0,0,0,1,0,0,0
46.jpg,0,1,0,1,0,0,0,0
5.jpg,0,0,0,1,0,0,1,0
51.jpg,0,0,0,1,0,0,0,0
52.jpg,0,0,0,1,0,0,0,0
53.jpg,0,0,1,0,0,0,0,0
54.jpg,0,0,1,0,0,0,0,0
55.jpg,0,0,1,1,1,0,0,0
56.jpg,0,0,0,1,0,0,0,0
57.jpg,0,0,0,0,1,0,0,0
58.jpg,0,0,0,0,1,0,0,0
59.jpg,0,0,0,1,0,0,0,0
6.jpg,0,0,0,1,0,0,1,0
61.jpg,0,0,0,0,1,0,0,0
62.jpg,0,0,1,0,1,0,0,0
63.jpg,0,0,0,1,1,0,0,0
64.jpg,0,0,0,0,1,0,0,0
68.jpg,0,0,1,0,0,0,0,0
69.jpg,0,0,0,0,1,0,0,0
7.jpg,0,0,1,0,0,1,0,0
70.jpg,1,0,0,1,0,0,0,0
71.jpg,0,0,0,1,0,0,0,0
73.jpg,0,0,0,0,1,0,0,0
74.jpg,0,0,0,1,0,0,0,0
77.jpg,0,0,0,0,1,0,0,0
78.jpg,0,0,0,1,0,0,0,0
79.jpg,0,0,0,0,1,0,0,0
8.jpg,1,0,0,1,0,0,0,0
80.jpg,0,0,0,0,1,0,0,0
9.jpg,0,0,1,0,0,1,0,0
