price_deviation_ratio,seller_account_age_days,has_missing_details,num_previous_listings,is_fraudulent
0.0,565,0,3,0
0.0,114,0,3,0
0.0,65,1,4,0
0.0,205,0,4,0
1.24506670183586,22,0,1,1
0.0,115,0,0,0
0.0,236,0,2,0
0.0,79,0,7,0
1.4718324796981745,10,1,0,1
0.0,132,0,4,0
0.0,51,0,1,0
0.0,411,0,7,0
0.0,359,1,2,0
0.0,16,0,3,0
0.0,109,0,9,0
0.0,468,1,4,0
0.0,709,1,2,0
0.8101231583907674,42,1,1,1
0.0,63,0,3,0
0.0,234,0,3,0
0.0,127,0,3,0
0.0,123,0,4,0
0.0,59,0,5,0
0.0,263,0,4,0
0.0,113,0,5,0
0.0,126,1,3,0
0.0,163,0,7,0
0.0,2,1,0,1
0.0,423,0,4,0
0.0,58,0,3,0
0.0,104,0,5,0
0.0,447,0,5,0
0.0,332,0,2,0
0.0,430,1,2,0
0.0,60,0,4,0
0.0,160,0,1,0
1.1684943482302057,1,0,1,1
0.0,54,0,5,0
0.0,490,0,4,0
0.0,67,0,3,0
0.0,19,1,3,0
0.0,205,0,0,0
0.0,64,0,8,0
0.0,148,0,3,0
0.0,27,0,4,0
0.0,607,0,7,0
0.0,198,0,2,0
0.0,163,0,4,0
0.0,318,1,6,0
0.0,17,1,0,1
0.0,140,0,3,0
1.0303917031521403,10,1,0,1
0.0,187,0,2,0
0.0,99,1,6,0
0.0,121,0,3,0
0.0,36,0,6,0
0.0,199,1,4,0
0.0,95,0,5,0
0.85646367359591,0,0,1,1
0.3495036390078748,0,0,1,1
0.0,345,0,4,0
0.0,14,0,3,0
0.0,35,0,5,0
0.0,25,0,6,0
0.0,129,0,8,0
0.0,13,0,5,0
0.0,218,0,11,0
0.0,48,0,4,0
0.9897848774881386,11,0,0,1
0.0,229,0,6,0
0.0,128,0,8,0
0.0,65,0,5,0
0.0,87,0,4,0
0.0,59,0,3,0
0.6585108847471588,3,1,0,1
0.0,299,0,2,0
0.0,116,0,1,0
0.0,22,0,7,0
0.0,784,0,5,1
0.0,108,0,1,0
0.0,79,0,5,0
0.0,258,0,5,1
0.0,36,0,2,0
0.0,36,0,5,0
0.0,7,1,1,0
1.2916926599672514,18,0,1,1
0.0,254,0,3,0
0.0,329,0,7,0
0.0,55,0,4,0
0.0,222,0,3,0
0.0,141,0,2,0
0.0,118,0,5,0
0.0,345,0,4,0
0.0,37,0,3,0
0.0,385,0,3,0
0.0,188,0,5,0
0.0,117,0,3,0
0.0,14,1,1,1
0.5975363899930612,11,0,1,1
0.0,80,0,4,0
0.0,79,0,4,0
0.0,33,0,5,0
0.0,68,0,3,0
0.0,472,0,2,0
0.0,35,0,3,0
